,A0,A1,A2,label
88,0.51,-1.82,-0.03,1
89,0.52,-1.25,0.03,1
90,0.51,0.35,0.06,1
91,0.52,0.84,0.09,1
92,0.53,-1.39,0.08,1
93,0.54,-1.42,-0.05,1
94,0.53,0.72,-0.03,1
95,0.55,1.5,-0.05,1
96,0.57,-1.36,-0.04,1
97,0.61,-2.47,-0.12,1
98,0.6,0.23,-0.14,1
99,0.61,1.57,-0.12,1
100,0.62,-1.0,-0.07,1
101,0.64,-2.55,-0.09,1
102,0.66,0.09,-0.07,1
103,0.67,1.76,-0.08,1
104,0.69,-0.78,-0.08,1
105,0.69,-2.6,-0.08,1
106,0.73,-0.49,-0.11,1
107,0.75,1.17,-0.12,1
108,0.78,0.6,-0.14,1
109,0.76,-2.0,-0.17,1
110,0.77,-1.62,-0.22,1
111,0.69,0.34,-0.24,1
112,0.62,1.48,-0.23,1
113,0.58,-0.06,-0.21,1
114,0.61,-2.53,-0.24,1
115,0.6,-0.95,-0.23,1
116,0.56,1.29,-0.24,1
117,0.55,1.13,-0.28,1
118,0.55,-1.97,-0.3,1
119,0.56,-2.05,-0.26,1
120,0.56,0.48,-0.24,1
121,0.55,1.69,-0.2,1
122,0.56,-0.99,-0.24,1
123,0.55,-2.75,-0.29,1
124,0.54,-0.31,-0.27,1
125,0.54,1.73,-0.26,1
126,0.55,0.87,-0.24,1
127,0.55,-2.52,-0.2,1
128,0.55,-1.66,-0.09,1
129,0.54,0.88,0.02,1
130,0.55,1.46,-0.04,1
131,0.56,-1.48,-0.11,1
132,0.57,-2.36,-0.12,1
133,0.57,0.17,-0.12,1
134,0.57,1.52,-0.05,1
135,0.58,0.02,-0.11,1
136,0.58,-2.79,-0.18,1
137,0.57,-0.98,-0.15,1
138,0.61,1.26,-0.08,1
139,0.63,1.08,-0.07,1
140,0.66,-2.08,-0.09,1
141,0.65,-2.08,-0.11,1
142,0.64,0.61,-0.11,1
143,0.62,1.46,-0.11,1
144,0.65,-0.6,-0.11,1
145,0.66,-2.52,-0.16,1
146,0.69,-0.78,-0.14,1
147,0.73,1.08,-0.15,1
148,0.78,0.89,-0.17,1
149,0.74,-1.84,-0.18,1
150,0.67,-1.94,-0.2,1
151,0.62,0.39,-0.24,1
152,0.59,1.18,-0.23,1
153,0.54,-0.96,-0.23,1
154,0.53,-2.24,-0.23,1
155,0.47,-0.08,-0.24,1
156,0.46,1.45,-0.22,1
157,0.5,0.42,-0.17,1
158,0.5,-2.5,-0.18,1
159,0.49,-1.69,-0.19,1
160,0.48,0.58,-0.18,1
161,0.47,1.38,-0.18,1
162,0.48,-1.26,-0.23,1
163,0.48,-2.65,-0.22,1
164,0.46,-0.13,-0.21,1
165,0.47,1.59,-0.19,1
166,0.48,0.09,-0.19,1
167,0.48,-2.48,-0.19,1
168,0.49,-1.04,-0.18,1
169,0.5,1.25,-0.13,1
170,0.49,0.92,-0.09,1
171,0.49,-2.33,-0.07,1
172,0.51,-1.84,-0.03,1
173,0.53,0.5,0.05,1
174,0.55,1.39,0.05,1
175,0.56,-1.1,0.06,1
176,0.58,-2.57,0.05,1
177,0.58,-0.51,0.07,1
178,0.6,1.19,0.08,1
179,0.6,0.72,0.01,1
180,0.61,-2.17,-0.01,1
181,0.6,-1.6,-0.03,1
182,0.62,0.37,-0.07,1
183,0.63,1.34,-0.07,1
184,0.65,-0.51,-0.04,1
185,0.67,-2.43,-0.05,1
186,0.67,-1.16,-0.04,1
187,0.68,0.66,-0.04,1
188,0.72,1.19,-0.05,1
189,0.76,-1.61,-0.01,1
190,0.75,-2.13,-0.03,1
191,0.77,-0.17,-0.05,1
192,0.78,1.32,-0.11,1
193,0.76,0.62,-0.15,1
194,0.74,-1.94,-0.19,1
195,0.72,-1.8,-0.21,1
196,0.7,0.26,-0.26,1
197,0.67,1.35,-0.32,1
198,0.62,-0.09,-0.34,1
199,0.59,-2.75,-0.34,1
200,0.58,-1.04,-0.36,1
201,0.57,0.71,-0.38,1
202,0.57,1.14,-0.48,1
203,0.56,-1.55,-0.51,1
204,0.55,-2.04,-0.47,1
205,0.54,0.19,-0.42,1
206,0.58,0.42,-0.12,0
207,0.69,0.38,-0.13,0
208,0.99,0.35,-0.1,0
209,1.39,0.34,-0.13,0
210,1.55,0.29,-0.19,0
211,1.39,0.27,-0.08,0
212,1.52,0.24,0.0,0
213,1.39,0.2,0.04,0
214,1.27,0.2,0.11,0
215,1.17,0.28,0.06,0
216,1.0,0.43,0.01,0
217,0.7,0.5,0.03,0
218,0.15,0.33,0.16,0
219,-0.34,0.14,0.22,0
220,-0.5,0.21,0.22,0
221,-0.48,0.35,-0.03,0
222,-0.47,0.41,-0.14,0
223,-0.56,0.42,-0.07,0
224,-0.59,0.41,-0.06,0
225,-0.87,0.33,-0.02,0
226,-1.13,0.33,-0.11,0
227,-1.29,0.31,-0.17,0
228,-1.2,0.27,-0.04,0
229,-1.06,0.28,0.01,0
230,-0.85,0.27,0.17,0
231,-0.6,0.22,0.13,0
232,-0.57,0.24,0.04,0
233,-0.68,0.34,0.0,0
234,-0.75,0.45,0.08,0
235,-0.83,0.45,0.17,0
236,-0.9,0.21,0.21,0
237,-0.84,0.19,0.15,0
238,-0.73,0.3,-0.22,0
239,-0.56,0.45,-0.22,0
240,-0.48,0.45,-0.24,0
241,-0.57,0.44,-0.13,0
242,-0.75,0.43,0.0,0
243,-0.9,0.36,0.11,0
244,-1.07,0.33,0.01,0
245,-0.99,0.28,0.0,0
246,-0.81,0.25,0.14,0
247,-0.65,0.25,0.16,0
248,-0.51,0.21,0.11,0
249,-0.51,0.19,0.06,0
250,-0.58,0.24,0.08,0
251,-0.66,0.39,0.14,0
252,-0.74,0.5,0.24,0
253,-0.83,0.34,0.24,0
254,-0.68,0.19,-0.01,0
255,-0.47,0.26,0.08,0
256,-0.37,0.41,0.08,0
257,-0.36,0.43,0.09,0
258,-0.4,0.45,0.08,0
259,-0.53,0.42,0.09,0
260,-0.68,0.36,0.09,0
261,-0.79,0.37,0.13,0
262,-0.77,0.33,0.07,0
263,-0.68,0.27,0.15,0
264,-0.53,0.26,0.13,0
265,-0.32,0.24,0.07,0
266,-0.32,0.19,0.0,0
267,-0.51,0.18,0.05,0
268,-0.69,0.31,0.23,0
269,-0.85,0.47,0.3,0
270,-1.05,0.43,0.14,0
271,-0.99,0.22,-0.08,0
272,-0.69,0.16,0.04,0
273,-0.4,0.32,0.01,0
274,-0.18,0.44,-0.01,0
275,-0.1,0.43,0.0,0
276,-0.14,0.43,0.01,0
277,-0.34,0.43,0.01,0
278,-0.64,0.4,-0.07,0
279,-0.99,0.39,-0.04,0
280,-0.86,0.29,0.04,0
281,-0.53,0.27,-0.01,0
282,-0.26,0.25,-0.06,0
283,-0.18,0.21,-0.06,0
284,-0.3,0.19,0.1,0
285,-0.43,0.23,0.18,0
286,-0.4,0.38,0.21,0
287,-0.22,0.51,0.0,0
288,-0.22,0.34,-0.11,0
289,-0.03,0.17,-0.01,0
290,0.13,0.18,-0.05,0
291,0.13,0.34,-0.07,0
292,-0.04,0.45,-0.17,0
293,-0.13,0.45,-0.15,0
294,-0.13,0.41,-0.08,0
295,-0.09,0.39,-0.09,0
296,-0.06,0.36,-0.02,0
297,0.02,0.36,0.06,0
298,0.13,0.28,0.05,0
299,0.28,0.26,0.03,0
300,0.18,0.26,0.04,0
301,0.08,0.19,0.12,0
302,0.03,0.17,0.18,0
303,0.07,0.25,0.19,0
304,0.01,0.41,-0.13,0
305,0.13,0.57,-0.14,0
306,0.65,0.36,-0.06,0
307,0.62,0.12,-0.05,0
308,0.18,0.23,-0.12,0
309,-0.16,0.44,-0.22,0
310,-0.45,0.47,-0.14,0
311,-0.57,0.47,-0.04,0
312,-0.6,0.39,-0.06,0
313,-0.67,0.33,0.03,0
314,-0.56,0.36,0.06,0
315,-0.4,0.4,0.04,0
316,-0.18,0.3,0.02,0
317,-0.04,0.27,0.05,0
318,0.08,0.32,0.13,0
319,0.17,0.37,0.2,0
320,0.21,0.33,0.16,0
321,0.34,0.38,-0.24,0
322,0.56,0.56,-0.13,0
323,0.8,0.69,-0.05,0
324,0.59,0.44,-0.06,0
325,0.27,0.24,-0.16,0
326,0.05,0.29,-0.21,0
327,-0.08,0.49,-0.06,0
328,-0.21,0.55,0.02,0
329,-0.13,0.57,0.06,0
330,0.01,0.57,0.14,0
331,0.03,0.61,0.08,0
332,-0.04,0.51,0.02,0
333,-0.04,0.6,0.01,0
334,0.01,0.49,0.1,0
335,0.03,0.37,0.2,0
336,0.07,0.42,0.25,0
337,0.19,0.4,0.03,0
338,0.38,0.37,-0.14,0
339,0.61,0.38,-0.03,0
340,0.88,0.39,-0.05,0
341,0.79,0.37,-0.03,0
342,0.4,0.36,-0.06,0
343,0.06,0.29,-0.04,0
344,-0.2,0.24,0.01,0
345,-0.24,0.27,0.01,0
346,-0.12,0.37,0.15,0
347,-0.06,0.42,0.16,0
348,-0.03,0.4,0.17,0
349,-0.1,0.48,0.12,0
350,-0.1,0.52,0.13,0
351,-0.06,0.56,0.17,0
352,0.05,0.52,0.23,0
353,0.16,0.45,0.23,0
354,0.38,0.37,0.02,0
355,0.52,0.28,0.12,0
356,0.65,0.2,0.07,0
357,0.82,0.23,-0.04,0
358,0.6,0.39,-0.05,0
359,0.24,0.51,-0.02,0
360,-0.01,0.31,0.01,0
361,-0.2,0.22,-0.02,0
362,-0.18,0.37,-0.1,0
363,-0.18,0.47,0.06,0
364,-0.19,0.42,0.06,0
365,-0.16,0.41,-0.01,0
366,-0.17,0.44,-0.06,0
367,-0.07,0.4,0.0,0
368,-0.07,0.31,0.15,0
369,-0.3,0.25,0.25,0
370,-0.53,0.26,0.17,0
371,-0.53,0.26,-0.24,0
372,-0.54,0.21,-0.1,0
373,-0.72,0.15,-0.09,0
374,-0.63,0.25,-0.09,0
375,-0.43,0.51,-0.04,0
376,-0.38,0.37,-0.15,0
377,-0.4,0.21,-0.18,0
378,-0.51,0.22,-0.09,0
379,-0.72,0.33,0.02,0
380,-0.82,0.4,0.09,0
381,-0.9,0.48,0.01,0
382,-0.93,0.57,-0.09,0
383,-0.88,0.49,-0.04,0
384,-0.72,0.39,0.04,0
385,-0.53,0.26,0.12,0
386,-0.42,0.24,0.19,0
387,-0.51,0.26,0.13,0
388,-0.57,0.23,-0.23,0
389,-0.6,0.16,-0.11,0
390,-0.54,0.18,-0.1,0
391,-0.53,0.39,-0.14,0
392,-0.44,0.48,-0.22,0
393,-0.34,0.27,-0.23,0
394,-0.34,0.2,-0.05,0
395,-0.46,0.31,-0.03,0
396,-0.7,0.43,0.01,0
397,-0.88,0.47,0.11,0
398,-1.04,0.56,0.06,0
399,-1.02,0.51,-0.03,0
400,-0.8,0.37,-0.02,0
401,-0.54,0.24,0.07,0
402,-0.26,0.24,0.17,0
403,-0.14,0.24,0.24,0
404,-0.1,0.2,-0.03,0
405,-0.25,0.12,-0.22,0
406,-0.42,0.13,0.0,0
407,-0.52,0.32,-0.04,0
408,-0.38,0.6,-0.04,0
409,-0.1,0.45,-0.06,0
410,0.0,0.42,-0.07,0
411,-0.06,0.41,-0.06,0
412,-0.4,-0.26,-0.77,1
413,-0.47,0.38,0.35,1
414,-0.35,0.1,1.86,1
415,-0.28,-2.66,-0.17,1
416,-0.21,-2.29,-0.83,1
417,-0.18,-0.89,0.71,1
418,-0.08,1.29,1.51,1
419,-0.02,0.26,-1.41,1
420,0.04,-3.04,-0.62,1
421,0.24,-1.59,1.54,1
422,0.38,0.89,1.19,1
423,0.36,0.77,-1.2,1
424,0.43,-2.82,-0.24,1
425,0.36,-1.98,1.55,1
426,0.48,0.42,0.88,1
427,0.56,1.22,-1.33,1
428,0.67,-2.0,0.04,1
429,0.72,-2.69,1.78,1
430,0.88,-0.32,0.92,1
431,0.86,1.24,-1.0,1
432,0.92,-0.83,0.08,1
433,0.89,-3.23,1.92,1
434,0.95,-0.86,0.81,1
435,0.93,1.69,-1.35,1
436,0.9,-1.59,0.05,1
437,0.87,-2.84,1.79,1
438,0.86,0.23,0.66,1
439,0.87,1.12,-1.21,1
440,0.8,-2.76,0.23,1
441,0.77,-1.79,1.74,1
442,0.79,1.41,0.26,1
443,0.85,-0.21,-1.0,1
444,0.85,-3.2,0.29,1
445,0.85,-1.61,1.9,1
446,0.87,1.26,0.62,1
447,1.01,0.15,-0.9,1
448,1.01,-3.16,0.63,1
449,0.94,-1.05,1.97,1
450,0.88,1.64,0.14,1
451,0.87,-1.27,-1.22,1
452,0.9,-3.1,0.7,1
453,0.79,-0.39,1.86,1
454,0.72,1.76,-0.33,1
455,0.74,-1.76,-0.96,1
456,0.8,-3.01,0.93,1
457,0.93,-0.01,1.58,1
458,0.91,1.44,-0.29,1
459,0.84,-1.95,-0.69,1
460,0.95,-2.93,0.96,1
461,0.97,-0.02,1.86,1
462,0.94,1.52,-0.88,1
463,0.91,-2.26,-0.32,1
464,0.9,-2.52,1.67,1
465,0.93,0.62,0.99,1
466,0.85,1.26,-1.2,1
467,0.8,-2.46,0.02,1
468,0.82,-2.54,1.79,1
469,0.81,0.39,0.62,1
470,0.8,1.6,-0.92,1
471,0.81,-2.28,0.67,1
472,0.82,-2.44,1.78,1
473,0.84,1.04,-0.23,1
474,0.78,1.1,-0.74,1
475,0.66,-2.66,1.0,1
476,0.62,-2.26,1.41,1
477,0.63,0.65,-0.95,1
478,0.65,1.13,-0.23,1
479,0.63,-2.52,1.78,1
480,0.52,-2.42,0.62,1
481,0.66,0.14,-1.17,1
482,0.63,1.06,0.08,1
483,0.45,-2.24,1.77,1
484,0.42,-2.66,0.38,1
485,0.36,0.25,-1.34,1
486,0.45,1.07,0.37,1
487,0.66,-2.52,1.83,1
488,0.62,-2.46,-0.09,1
489,0.61,0.42,-0.71,1
490,0.46,1.25,0.76,1
491,0.25,-2.43,1.66,1
492,0.18,-2.66,-0.53,1
493,0.07,0.11,-0.69,1
494,0.22,1.28,1.29,1
495,0.37,-2.12,1.38,1
496,0.38,-2.85,-1.11,1
497,0.47,-0.21,-0.44,1
498,0.48,1.37,1.49,1
499,0.39,-1.7,1.26,1
500,0.3,-3.17,-1.19,1
501,0.2,-0.47,0.04,1
502,0.17,1.28,1.82,1
503,0.08,-1.27,0.38,1
504,-0.05,-3.32,-1.35,1
505,-0.12,-1.1,0.2,1
506,-0.28,1.4,1.91,1
507,-0.29,-0.19,0.07,1
508,-0.38,-3.31,-1.09,1
509,-0.48,-1.54,0.85,1
510,-0.47,1.25,1.6,1
511,-0.42,0.42,-0.66,1
512,-0.51,-3.0,-0.54,1
513,-0.51,-2.26,1.39,1
514,-0.29,0.32,1.32,1
515,-0.42,1.25,-1.21,1
516,-0.65,-2.2,-0.1,1
517,-0.53,-2.78,1.88,1
518,-0.62,-0.22,0.68,1
519,-0.51,1.53,-1.32,1
520,-0.39,-1.21,0.26,1
521,-0.54,-3.43,1.95,1
522,-0.6,-1.05,0.78,1
523,-0.67,1.66,-1.22,1
524,-0.69,-0.82,0.72,1
525,-0.68,-3.31,1.82,1
526,-0.79,-1.08,-0.39,1
527,-0.8,1.52,-1.1,1
528,-0.97,-0.62,0.91,1
529,-1.14,-3.38,1.54,1
530,-0.96,-1.26,0.01,1
531,-0.84,1.64,-1.07,1
532,-0.72,-0.59,0.85,1
533,-0.6,-3.38,1.58,1
534,-0.43,-1.47,-1.08,1
535,-0.35,1.52,-0.67,1
536,-0.42,-0.14,1.32,1
537,-0.72,-3.29,1.01,1
538,-0.74,-1.62,-1.39,1
539,-0.93,1.21,-0.15,1
540,-1.09,0.3,1.91,1
541,-1.0,-3.05,0.87,1
542,-0.91,-2.15,-1.44,1
543,-0.91,0.86,0.34,1
544,-0.95,0.92,1.91,1
545,-0.94,-2.7,-0.14,1
546,-0.91,-2.42,-1.0,1
547,-0.73,0.64,0.53,1
548,-0.52,1.2,1.52,1
549,-0.53,-2.52,0.32,1
550,-0.67,-2.63,-0.91,1
551,-0.79,0.02,0.66,1
552,-0.84,1.57,1.75,1
553,-0.84,-1.74,-0.3,1
554,-0.99,-3.26,-0.99,1
555,-0.98,-0.6,1.09,1
556,-1.12,1.62,1.66,1
557,-1.0,-1.08,-0.66,1
558,-0.92,-3.41,-0.47,1
559,-0.8,-0.95,1.54,1
560,-0.77,1.69,1.47,1
561,-0.81,-0.53,-0.87,1
562,-0.66,-3.34,-0.19,1
563,-0.57,-1.12,1.55,1
564,-0.66,1.5,1.2,1
565,-0.81,-1.22,-0.92,1
566,-0.74,-3.16,-0.34,1
567,-0.73,-0.7,1.66,1
568,-0.67,1.22,1.37,1
569,-0.89,-2.23,-1.11,1
570,-0.99,-2.61,0.47,1
571,-1.0,0.33,2.17,1
572,-1.0,0.89,0.55,1
573,-1.04,-2.74,-1.18,1
574,-0.87,-2.3,0.23,1
575,-0.8,0.64,1.87,1
576,-0.67,0.66,0.43,1
577,-0.59,-2.9,-1.57,1
578,-0.37,-2.1,0.37,1
579,-0.44,1.01,1.6,1
580,-0.6,0.66,0.28,1
581,-0.63,-2.9,-1.07,1
582,-0.66,-2.17,0.31,1
583,-0.71,1.0,1.85,1
584,-0.79,0.45,0.34,1
585,-0.91,-3.03,-0.71,1
586,-0.98,-1.86,0.66,1
587,-1.0,1.18,1.62,1
588,-0.98,0.08,-0.18,1
589,-0.9,-3.21,-1.26,1
590,-0.85,-1.55,0.52,1
591,-0.81,1.34,1.51,1
592,-0.78,-0.55,0.25,1
593,-0.66,-3.38,-0.82,1
594,-0.55,-1.53,0.88,1
595,-0.39,1.48,1.66,1
596,-0.45,-0.07,-0.25,1
597,-0.51,-3.27,-0.76,1
598,-0.63,-1.24,1.23,1
599,-0.69,1.69,1.28,1
600,-0.76,-1.11,-0.8,1
601,-0.78,-3.29,-0.62,1
602,-0.91,-0.8,1.64,1
603,-1.08,1.48,1.21,1
604,-0.95,-1.59,-1.16,1
605,-0.89,-2.99,-0.22,1
606,-0.84,-0.32,1.67,1
607,-0.8,1.39,1.18,1
608,-0.8,-1.79,-1.41,1
609,-0.79,-3.18,-0.25,1
610,-0.72,-0.42,2.14,1
611,-0.69,1.71,0.78,1
612,-0.69,-2.3,-1.13,1
613,-0.66,-2.46,0.39,1
614,-0.72,0.62,1.61,1
615,-0.65,0.69,0.25,1
616,-0.6,-2.92,-1.25,1
617,-0.66,-1.99,0.35,1
618,0.46,-0.16,-0.11,0
619,0.68,-0.17,-0.56,0
620,0.7,-0.18,-0.65,0
621,0.29,-0.17,-0.08,0
622,0.23,-0.16,-0.07,0
623,0.76,-0.16,-0.4,0
624,0.98,-0.16,-0.66,0
625,0.32,-0.16,-0.29,0
626,0.13,-0.14,-0.05,0
627,0.66,-0.13,-0.24,0
628,0.94,-0.13,-0.58,0
629,0.45,-0.12,-0.43,0
630,0.12,-0.12,0.0,0
631,0.6,-0.12,-0.11,0
632,1.0,-0.27,-0.54,0
633,0.59,-0.62,-0.64,0
634,0.06,-0.83,-0.08,0
635,0.48,-0.78,-0.04,0
636,1.06,-0.71,-0.44,0
637,0.67,-0.54,-0.66,0
638,0.08,-0.42,-0.26,0
639,0.41,-0.48,-0.06,0
640,1.06,-0.7,-0.25,0
641,0.77,-0.86,-0.62,0
642,0.12,-0.68,-0.45,0
643,0.29,-0.71,-0.07,0
644,0.98,-0.7,-0.21,0
645,0.87,-0.94,-0.47,0
646,0.17,-0.84,-0.51,0
647,0.18,-0.74,-0.1,0
648,0.92,-0.68,-0.15,0
649,0.95,-0.81,-0.35,0
650,0.14,-0.89,-0.55,0
651,0.08,-0.65,-0.28,0
652,0.86,-0.34,-0.11,0
653,1.06,-0.77,-0.28,0
654,0.44,-1.13,-0.56,0
655,-0.11,-0.78,-0.41,0
656,0.54,-0.34,-0.04,0
657,1.18,-0.7,-0.14,0
658,0.57,-1.16,-0.46,0
659,-0.03,-0.78,-0.51,0
660,0.48,-0.32,-0.15,0
661,1.13,-0.61,-0.19,0
662,0.65,-1.16,-0.3,0
663,-0.04,-0.92,-0.49,0
664,0.32,-0.34,-0.31,0
665,1.09,-0.44,-0.14,0
666,0.91,-1.14,-0.13,0
667,0.09,-0.98,-0.44,0
668,0.06,-0.34,-0.59,0
669,0.76,-0.32,-0.21,0
670,1.06,-1.16,-0.08,0
671,0.4,-1.19,-0.19,0
672,0.01,-0.51,-0.55,0
673,0.52,-0.33,-0.44,0
674,1.13,-1.04,-0.11,0
675,0.71,-1.08,-0.07,0
676,0.0,-0.57,-0.42,0
677,0.27,-0.26,-0.59,0
678,1.05,-0.95,-0.27,0
679,0.9,-1.35,-0.11,0
680,0.14,-0.6,-0.17,0
681,0.11,-0.14,-0.53,0
682,0.76,-0.78,-0.46,0
683,1.0,-1.33,-0.02,0
684,0.49,-0.94,-0.1,0
685,0.02,-0.29,-0.48,0
686,0.43,-0.56,-0.63,0
687,1.09,-1.22,-0.21,0
688,0.73,-0.98,-0.01,0
689,0.06,-0.29,-0.22,0
690,0.18,-0.42,-0.63,0
691,0.98,-1.34,-0.45,0
692,0.94,-1.13,-0.11,0
693,0.16,-0.33,-0.05,0
694,0.09,-0.31,-0.46,0
695,0.77,-1.12,-0.55,0
696,1.06,-1.33,-0.21,0
697,0.38,-0.71,-0.12,0
698,0.02,-0.21,-0.22,0
699,0.49,-0.71,-0.52,0
700,1.14,-1.3,-0.39,0
701,0.7,-1.05,-0.12,0
702,-0.05,-0.29,-0.06,0
703,0.19,-0.38,-0.5,0
704,0.93,-1.3,-0.55,0
705,1.09,-1.2,-0.11,0
706,0.29,-0.38,-0.06,0
707,-0.07,-0.24,-0.29,0
708,0.5,-1.13,-0.6,0
709,1.21,-1.29,-0.35,0
710,0.7,-0.67,-0.06,0
711,-0.11,-0.23,-0.05,0
712,0.19,-0.73,-0.56,0
713,0.98,-1.27,-0.5,0
714,1.1,-0.97,-0.06,0
715,0.29,-0.33,-0.01,0
716,-0.11,-0.46,-0.39,0
717,0.44,-1.25,-0.57,0
718,1.19,-1.13,-0.19,0
719,0.87,-0.48,-0.06,0
720,-0.07,-0.29,-0.15,0
721,0.06,-1.07,-0.53,0
722,0.8,-1.3,-0.45,0
723,1.11,-0.6,-0.09,0
724,0.4,-0.32,-0.05,0
725,-0.15,-0.82,-0.34,0
726,0.45,-1.28,-0.54,0
727,1.16,-0.84,-0.19,0
728,0.78,-0.34,-0.09,0
729,-0.11,-0.52,-0.12,0
730,0.11,-1.32,-0.52,0
731,0.89,-1.1,-0.43,0
732,1.05,-0.54,-0.05,0
733,0.29,-0.32,-0.12,0
734,-0.09,-0.82,-0.42,0
735,0.5,-1.37,-0.52,0
736,1.13,-0.91,-0.2,0
737,0.66,-0.31,-0.03,0
738,-0.08,-0.45,-0.16,0
739,0.2,-1.29,-0.58,0
740,1.0,-1.23,-0.37,0
741,0.9,-0.57,-0.08,0
742,0.08,-0.22,-0.05,0
743,0.04,-0.81,-0.41,0
744,0.65,-1.35,-0.45,0
745,1.07,-0.98,-0.17,0
746,0.59,-0.33,-0.1,0
747,-0.12,-0.38,-0.29,0
748,0.2,-1.13,-0.47,0
749,1.01,-1.3,-0.2,0
750,0.98,-0.71,-0.09,0
751,0.08,-0.26,-0.11,0
752,-0.04,-0.73,-0.53,0
753,0.69,-1.29,-0.46,0
754,1.16,-1.0,-0.08,0
755,0.51,-0.35,0.05,0
756,-0.22,-0.42,-0.33,0
757,0.27,-1.25,-0.57,0
758,1.21,-1.26,-0.26,0
759,0.87,-0.61,-0.08,0
760,-0.04,-0.29,-0.11,0
761,0.04,-0.83,-0.53,0
762,0.83,-1.32,-0.45,0
763,1.08,-0.91,-0.08,0
764,0.43,-0.36,-0.04,0
765,-0.09,-0.54,-0.29,0
766,0.35,-1.23,-0.52,0
767,1.12,-1.19,-0.32,0
768,0.87,-0.56,-0.07,0
769,0.05,-0.34,0.0,0
770,0.02,-1.05,-0.46,0
771,0.75,-1.27,-0.53,0
772,1.09,-0.77,-0.11,0
773,0.44,-0.4,0.04,0
774,-0.09,-0.62,-0.22,0
775,0.35,-1.22,-0.58,0
776,1.14,-1.19,-0.34,0
777,0.86,-0.57,-0.02,0
778,-0.08,-0.32,-0.02,0
779,0.02,-0.95,-0.43,0
780,0.72,-1.34,-0.43,0
781,1.12,-0.83,-0.07,0
782,0.36,-0.21,-0.03,0
783,-0.14,-0.67,-0.32,0
784,0.42,-1.38,-0.51,0
785,1.19,-1.12,-0.14,0
786,0.66,-0.32,0.0,0
787,-0.12,-0.33,-0.23,0
788,0.22,-1.23,-0.5,0
789,1.06,-1.33,-0.26,0
790,0.86,-0.64,0.06,0
791,0.02,-0.22,-0.06,0
792,0.09,-0.77,-0.47,0
793,0.75,-1.35,-0.42,0
794,1.06,-1.02,-0.01,0
